label,tweet
0.00,"@a_ssati @hassan_k82 Pity the helpless #Indian Celebrities ; From Dancing in Ambani wedding, praising the fascist Modi to accepting False #SurgicalStrikes , they have to perform to prove their Nationalismâ€ 
Ye hai inn ki Auqaat!
#UnitedWeStrike #IndiaExposed"
0.00,How I failed to get into NDA! 1n https:tcofIOtrI5nHE
1.00,"A 'M' friend : BJP supports Israel, because BJP is anti-Muslim  

Me : Israel supports India, it means that you are Anti-National"
1.00,"Like 2014 itâ€™s all about Modi in 2019, those who loved Modi still love him to the core those who hated still hate him to the core , only 2 type of people in India , pro Modi and anti Modi "
0.00,So many people lost lives in the tragedy of consuming illicit liquor The failed governance of BJP is least bothered about the plight of people Shameful! Time to oust this failed govt #NorthEastWelcomesRahulGandhi
0.00,"Daughter of bjp neta found The bjp man got his daughter kidnapped for political gain That's bjp for you Not even surprising btw Sanghis throw beef in temples to start riots, kill each other and blame others for political gain Its normal in shakha culture #BacchaJharaParty https:tcoJxReOnU7Gj"
1.00,"@AnilShiroleBJP @MinGirishBapat @BJP4India @narendramodi This is the strength of @BJP4India 
What a fantastic gesture from you sir truly loved it
We as Punekar are great ful for ur contribution to make pune a better city 
Project like metro is one of the ur work will be written in golden history of pune 
@SidShirole"
0.00,"Have you seen any tweet on brutal killing of Ramalingam from GoBackModi hashtag people?

#TNWelcomesModi"
1.00,"PM Modi welcomes IAF pilot Abhinandan, says 'nation proud of your exemplary courage' 
https:tco9s0tOL358y

via NaMo App https:tcoXQO2euotA7"
0.00,"Those chest thumping about an ACCUSED being given ticket by BJP to contest elections in Bhopal, 
havenâ€™t said a word about another suave Keralite ACCUSED belonging to Congress, he has been accused of killing his wifehelping her kill herself 

Why this Kolaveri Di?"
0.00,"@sampadscales @rashtrapatibhvn @VPSecretariat @PMOIndia @HMOIndia @narendramodi Yes
 
This horrible death inflicted on Capt Kalia and 5 of his Men is yet to be avenged

They all were subjected to most brutal torture for over 5 Days before they were killed 

The torturers are still alive
Roaming free in Pakistan

Shame on us"
0.00,BJP preferred expediency over ethics: Harsh https:tcokfv9uNMLC0
0.00,"Day After Major Terrorist Attack, PM Modiâ€™s Photo Op At Vande Bharat Express Inauguration 
https:tcoRt49aorSkY"
0.00,"Modi: How's the josh? 
Terrorism: High sir 

#SadhviPragyaSinghThakur"
0.00,So now modi haters are India haters https:tcojmZZazkgKM
0.00,"RSS India's Number One Terrorist Organisation, Says Former Mumbai Police OfficerÂ 

https:tcoxSluZxG2ki"
1.00,Congratulations @ManojTiwariMP Bjp Candidate 4m North East Delhi @BJP4Delhi 
0.00,"#NaMo: Perpetrators of #terrorism will be punished Scores will be settled this time for good This is a changed #India, this pain will not be tolerated We know how to crush terrorism"
0.00,"Yasin Malik's JKLF promoted terrorism, set Kashmir on fire in nineties and killed innocent people: BJP State President Sh @RavinderBJPJK 

Media Source
@SharmaKhemchand https:tcoiXnuXVAKSR"
1.00,"I met a senior Enterpreneur yesterday - hard core Modi believer &amp; supporter

He said Modi canâ€™t deliver Indiaâ€™s future as he is too arrogant to listen to others more talented than him and prefers loyalty over talent on his team

If you vote for BJP, you risk Indiaâ€™s future https:tcoT9pWPuiWQ2"
1.00,"#Terrorists termed w Ji and Saheb
Prime Minister as Chor and What not

Basics of #INC gone wrong Glad #BJP has #RSS teaching them right things
So proud of RSS :')
#RahulLovesTerrorists"
1.00,"For better future Modi fighting with all odds irrespective of any situation
Demonetization
GST
Merging Banks
NPAs recovery
Against Terrorism
And so on
We will support Modi until he reaches great vision and make sure that India ðŸ‡®ðŸ‡³ holds highest position in world ðŸ—º
#ModiDharmaYudh"
0.00,Widespread Voter Suppression in West Tripura Constituency BJP goons openly stopping voters from casting their Ballot through Threats &amp; Violence https:tcordCO2LPK9t
0.00,"I strongly condemn threats by BJP govt to one of India's most senior &amp; respected editors, N RamInvoking Official Secrets Act to threaten journalists is a shame They cannot curb freedom &amp; rights of the press as per their convenience -@MamataOfficial #RafaelScam @TheHinduComment"
1.00,"We actually respect @RahulGandhi ,  Is our strongest asset for the victory of BJP  

- @poonam_mahajan ji 

‹œ https:tco6jzWRWym1J"
1.00,"My twitter handle will function under the name Chowkidarâ€ to mark my commitment towards building #NewIndia which is prosperous, safe, healthy and powerful 

I stand firmly with our PM @narendramodi in this mission ! 

#ChowkidarFirSe #MainBhiChowkidar"
0.00,"Many of them got many chances but they only looted India Their families prospered but poor Indians became poorer POLITICS is a profit-making business for them Only #Modi has truly worked for the poor 
 #DeshVirodhiGang 
#PMKisan 
#ModiKumbhVisit https:tcoWkfF7ANt3r"
0.00,"In 2001, terrorists attacked the Parliament but were prevented from entering it

In 2019, a terrorists got a BJP ticket to enter the Parliament

#ModiHaiTohMumkinHai"
1.00,PM Modi's Strong Message to Pakistan! https:tcohobMs7jTkv
0.00,Why is BJP not approaching Supreme Court demanding FIR against CM @MamataOfficial for abetting the suicide of a former IPS officer and demanding CBI probe? https:tco3mrfzHIkl8
1.00,"Instead of safeguarding the interest of the public So called chowkidar was busy at safeguarding the interest of his friend Anil Ambani 
 #FileChorChowkidar"
1.00,"https:tcoZGGshHOM2I
Dear @amitmalviya here's a capsule of Modi Government achievements  Please ignore pappu and congis for the next four months"
0.00,Modi has almost killed India's economy - it is enough to kill his chances of being reelected!  https:tco12vvxvVP5o
0.00,Mehbooba Mufti warns Modi govt of disastrous consequences if section #35A is touched Openly runs an anti-India campaign by attacking the Tricolour Says J&amp;K shall be forced to pick up flags other than the Tiranga Threatens the use of violence that has not been seen since 1947 https:tcorQsJqmb3Rk
0.00,Yes @ikamalhaasan is saying what is self-evident #Godse was India's first terrorist The assassination of Gandhi was the first act of terror in India And you'll never hear a single BJP or RSS leader say it Pragya Thakur's org Abhinav Bharat is inspired by Godse &amp; Savarkar
1.00,"I signed the most intense NDA, and my heart was beating so hard the whole time but I also truly donâ€™t know that much ‚ #OscarsAllAccess https:tcoThMo22XEde"
1.00,@mini_707070 Unity of the mahagathbandhan is as crooked as theirs promisesAnd these bloody disgraceful dishonest corrupt U turn politicians wants people to trust themThey donâ€™t trust each other how the hell Can anyone trust them with the country Only PM MODI can SAFEGUARD THE COUNTRY
1.00,"Sadhvi Pragya ji gets BJP ticket from Bhopal

There can be a bigger chance for u, O hindus! Opportunities don come everyday Do your best!

Make her win the biggest win ever!

And give 300+ seats to Modi, that he has given you a chance to hold your head high! https:tcopUklPFFBIS"
1.00,@Vivekjkulkarni @ARPANsThoughts @Swamy39 ‚ Modi be like https:tcoRjyk1op662
1.00,"I definitely did but like many other Indians, I too had lost all hopes on India until I saw @narendramodi as an alternative In last 5 years, he has proven to be the best PM India has ever had Please go through my pinned tweet thread to find out what all has been done by him https:tcojhzyI3eVhs"
0.00,RSS Worker Arrested For Bomb Attack At Kerala Police Station https:tcos5AlprGJaV
0.00,"#LutyensExitPoll
Modi phobia has made them do it
Fear of dynastic rule coming to end
Start of headaches of many scams"
0.00,Do you know Modi allowed Open-air autopsy (Post Mortems) of Godhra victims outside Railway Yard to incite riots and violence in Gujarat?
1.00,"I am proud to join #MainBhiChowkidar movement As a citizen who loves India, I shall do my best to defeat corruption, dirt, poverty &amp; terrorism and help create a New India which is strong, secure &amp; prosperous @narendramodi 
à¤œà¤¯ à¤¹à¤¿à¤¨à¥à¤¦ 
#ChowkidarPhirSe 
#iTrustChowkidar https:tcoiNMCDO3iX2"
1.00,"Good men should be elected People are really very excited to vote for Narendra Modi again We will win with a good margin,"" @Tejasvi_Surya said #LokSabhaElections2019 "
0.00,"@PriyamvadaGopal So true! I was just in Bombay and was shocked by the newspaper coverage of Pulwama No details, no wider context of the conflict, the first day didnâ€™t even mention the attack was on an army base Just wall to wall coverage of mourning and Modi being strong"
1.00,"Must watch video clip where Rajdeep Sardesai MOST CLEARLY admits that Narendra Modi was not responsible for the Godhra riots He was innocent Media did a blunder by reporting otherwise
https:tcoa2Ze9t67Rl"
1.00,#MeraParivaraBhajapaParivar I agree and I am with BJP
1.00,"We wholeheartedly welcome our honorable pm Narendra Modi ji toTamil Nadu His visionary leadership wheel drive India along with Tamilnadu towards great heights
#TNWelcomesModi 
#TNWelcomesModi"
0.00,"The 60-year old BJP leader from Kashmir was a threat to the terrorists? Sadly, these political killings are a norm in Kashmir zone

Those thinking of reasoning with the lunatics who murdered this old man in his home should know this: 

They ONLY speak the language of â€˜gunâ€™ https:tco8J1ud0fvsD"
0.00,"Modi-Shah giving tickets to sons, even stepsons and daughters of leaders who are alive but not of those who are dead"
0.00,"Youth: jobless
Women: unsafe
Farmers: distressed
Small businessmen: penniless
Armed Forces: misused
Poor: fighting to survive
Middle-class - burdened by GST

India - systematically destroyed!!

Mr Modi has nothing to defend himself and, thus he hides!
#RahulKaChallenge https:tcoXR2NOKS1z9"
0.00,@cjwerleman #SriLanka has been targetted by #IndianRAW to horrify #Chinese in SriLanka #Modi made this terrorism to punish SriLanka
0.00,"The changing of the security report to pander to the Sikh separatist reminded me of the disastrous trip to India which failed under Freeland expert guidance The Modi govt was clear on their desire for unity while Trudeau downplayed it, danced and had dinner with a terrorist"
1.00,"#MainBhiChowkidar is a farce to fool honest citizens into supporting a corrupt government A better slogan would be #MainBhiChorHoon Then Modi ji can tag his best friends like AA, N Modi and Choksi
@INCIndia @RahulGandhi @MWasnik_INC @SanjaySDutt @INCTamilNadu https:tcoqFt5MkYKBa"
0.00,"Modi have won previous election on Anti Pakistan narrative Now after the Pulwama Attack again accusing Pak &amp; trying to use this Indian loss for his upcoming elections 
#ModiBehindPulwama"
0.00,"BJP disowns Sanju Verma for blaming victims of foot overbridge collapse for tragedy, her Twitter bio says she is 'chief spokesperson' https:tcoI7xwnIbUBA"
0.00,"BJP got THRASHED at STATE ELECTIONS 2017-2018
ENDED UP 5 - 0 HUMILIATION
for
NEGLECTING YOUTH with NO JOBS
Even today There are NO JOBS for YOUTH 
Economy is stagnant https:tcolBB70I5zc2"
1.00,"If calling someone ji is showing love and respect to Terrorists then BJP is no different 

Here is Murli Manohar Joshi , a veteran BJP leader calling Hafiz Saeed as 'Shri Hafiz Saeed ' 

So BJP loves Terrorists? 

#RahulLovesTerrorists https:tcouZ1Ixg0JbP"
0.00,"Modi only interested in pampering his crony corporates!
Modi always neglect poor workers or cheat them with fake promises!
#WorkersAgainstModi https:tcoz5cNyWXVTJ"
1.00,Itâ€™s very strange  no matter what channel number I press on my TV it goes straight to Namo TV ðŸ“º not that Iâ€™m complaining - itâ€™s hilarious
0.00,"Prime Minister Modi scoffing at dyslexic kids is distasteful, disgraceful, and disgusting SHAME on him and those who find it funny! https:tcodqYdZIbxsY"
0.00,"BJP alleges 75-yr-old TN man killed for supporting Modi, cops deny https:tcoCw5xfIuAFy"
0.00,Women who vote for BJP support their own molesters https:tcoomY0HdEqYF
0.00,"Funniest conspiracy theory ever:
Some Pakis claim RSS &amp; BJP attacked Lanka to scare Indians in to voting for BJP fearing same situ in India under Khangress ‚‚‚"
0.00,Every Patriotic Indian is  disgusted by the video of a family in #Gurugram being mercilessly beaten by hooligans The RSS BJP channelises bigotry &amp; hatred for political power This incident serves as a warning of the dangerous consequences &amp; the dark side of that strategy
0.00,"Cong Was in dilemma

If they had ignored that statement it would have meant acceptance of corruption under Rajiv so they were forced to reply to it

Win-win for Modi

U ignore him - he grows

U attack him - he grows exponentially

Cong Forced to choose layer option https:tco0x7tKdAUKQ"
1.00,"Dear @RahulGandhi @SitaramYechury @ArvindKejriwal &amp; other members of Pak B Team:
Accountability is a TWO WAY STREET -if u blamed @narendramodi ji for #PulwamaTerrorAttack then show grace to applaud him fr showing  decisiveness &amp; strong Political Will to conduct #BalakotAirStrikes"
0.00,"#Islamophobia is directly rspnsble for the #NewZealandShooting , to which our Hindu Terrorist @narendramodi is also responsible After #PulwamaAttack he choose to act against Kashmiris 
Remember terrorism has no religion
This White Christian Terrorist shld be caught and pnshed"
1.00,"One of the main reasons why Modi needs to win in 2019, despite several failures enemies of India donâ€™t want him n will cheer opposition parties coalition that has absolutely no agenda https:tcoCyZQ9yzgcq"
1.00,My wife Kirron is unhappy with BJP for the way they have cheated Kashmiri Pandits She has decided to contest as an independent from Srinagar Wish her luck :)
0.00,"#ModiDharmaYudh
It's a war between Dharma Vs Adharma
Shri Narendra Modi ji will be a winner!"
0.00,"Modi ji please fight the pressure !! 
Please take some tough decisions We are with you !
@narendramodi"
1.00,"Weâ€™ve demolished Modi, heâ€™s scared I am confident and positive that people of my country are with us My Josh is highSays @INCIndia President @RahulGandhi https:tcoT6FnNiNMqj"
0.00,Mr  Narendra Modi there are employees of jet airways who tears in their eyes instead of self confidence No  employment no vote https:tcoBrK94dVd2S
1.00,"Dear @KTRTRS ji, instead of wasting your precious time criticising BJP in Hyderabad where votes were manipulated to win you can actually put up proper roads and clean up garbage properly and clean up lakes pls https:tcopbB8m9UBJY"
0.00,"@keveeyes @RahulGandhi @INCIndia The Gunman"" was using a ""2002"" model gun, and suspected to be an ardent modi fan!!! Howzaat?"""
0.00,"Modi, Amit Shah &amp; #SadhviPragya - all are getting ready for 3rd phase of election with Hindutva terror agenda in the Hindi belt Dear @INCIndia, donâ€™t fall into the trap @BJP4India knows they are losing, let them have a peaceful death"
1.00,"We know what their promises are worth Modi ji, act now to end terror! https:tcoxiKzWgvVL0"
0.00,"After failed operation against Pakistan, Indian military is angry with Modi government An unstable India would be a threat to peace in South Asia"
1.00,"@Hariindic @narendramodi Well done Hari! Thank you for sharing this

Wishing you a happy birthday as well! :) 

#ChowkidarNarendraModi #Chowkidar #ChowkidarFirSe #iTrustChowkidar #chowkidarsherhai"
0.00,@narendramodi After Welcoming Home Wing Commander Abhinandan Modi is going to murder him for embarrassing the entire India at front of the World Soon we will hear that Abhi Abhi  Nandan committed suicide #ShameOnYouModi
0.00,Modi has gone hysterical Says opposition is questioning his mother's character and father's identity He is quite pathetic
0.00,"Arnab Goswami's representative stunned on LIVE TV, voter hurls abuses at BJP for failed promises https:tcoLkJeeABYUD"
1.00,"Yes, I am @naralokesh â€™s Father and I am Proud - @ncbn

I always promote family values whereas Modi has no family and is unable to appreciate those aspects,â€ #ChandrababuNaidu took a Jibe

#NaraLokesh #TDP

 https:tcoxYXysZQFIw"
1.00,"Best wishes to most dynamic and dedicated person, Honourable PM Shri @narendramodi on his birthday!

A man with vision for New India
A distinguished orator,whose optimism boosts morale
A man who makes us feel that
THERE IS HOPE FOR NEW INDIA"""
0.00,"Modi needs to explain why has he made this lady who has never won an election, lies about her education &amp; repeatedly spread fake news a powerful cabinet minister! https:tcoYfcaKIHjTa"
1.00,PM Modi receives the 'Seoul Peace Prize' in Republic of South Korea https:tcok1eE1HlW4X
1.00,"Stunning scale of charity Kudos to everyone behind this initiative @TVMohandasPai 
PM Modi To Serve ISKCON Affiliate Akshaya Patraâ€™s Three-Billionth Meal To Poor Schoolkids In Vrindavan https:tcoP1tbcZRAze via @swarajyamag"
1.00,"Do watch !! How in Just 5yrs India transformed it's growth history at a breakneck speed under the visionary , dedicated leadership of @narendramodi  Let's promise ourselves to take this further &amp; not stop its growth &amp; rise Vote for dev ,vote for @BJP4India
#IndiaSaysNamoAgain https:tcoadIksJ8Fev"
0.00,Fact-check: Rahul Gandhi and BJP's claim about PM's whereabouts after Pulwama terror attack https:tcoO10igsm3vO via @AltNews
1.00,"Indian Commercial Pilots Association: ICPA being a patriotic and responsible union would like to extend complete support and co-operation in all operations as the situation demands We will support the government and the PMO in this fight against terrorism 
Source :  #ANI https:tcoWRaqsK2eFy"
1.00,"Genuine love for @narendramodi is everywhere This woman blesses Modi for all the work he is doing for the poor

And says Pandurangana Aane (kasam), #NaMoAgain ! Her expressions are so convincing https:tcoZQzD41heco"
0.00,"Several BJP leaders have been caught participating in nefarious activities, including funding terrorists, promoting terrorist groups, helping ISI spy on our Army &amp; openly being named members of militant organisations 
#BJPTerrorism"
1.00,"Dear Modi,
We Biharis want peace &amp; harmony whereas you want animosity

We Biharis value principles,morality &amp; integrity but u donâ€™t have any of these

We have rejected you &amp; your ideology in 2015 assembly elections &amp; we are going to repeat that @RJDforIndia 
#BiharRejectsModi"
0.00,"All parties?

1 How were those supporting Gen Bakshi disrespected?

2 Modi is hated way more than Gen Bakshi, so tomorrow you will delete a pic of welcoming him if someone threatens to boycott you, because you have disrespected the person threatening?

https:tcomRVo6XfvOO"
0.00,Filthy modi doing politics on dead bodies Kashmir needs independence Modi sarkar terrorism wont help anyone
1.00,"Tirupur eagerly waiting to receive our honourable PM @narendramodi @PMOIndia TamilNadu welcomes our PM @AmitShah @BJP4TamilNadu @BJP4India 
@VanathiBJP @DrTamilisaiBJP
#TNWelcomesModi https:tcogdJm41elUx"
1.00,Narendra Modi today had the confidence of a man who is sure he's winning Or of one who doesn care if he's losing
0.00,BJP credits Modi's leadership as UN designates Masood Azhar global terrorist https:tcoMwfoWzHHio
1.00,Five lakh salary to Amartya Sen for free and faculty positions to Manmohan Singh's daughter and her friends All because MMS was the Prime Minister himself! No wonder intellectuals hate BJP so much because no free ka paisa ‚ https:tcoLtIXw7VFX1
1.00,"@mkstalin @TNCongress @AmitShah 
#ExpelCongressSpyTamilisai
It is Shame on TN BJP Leaders Who Overlooked @DrTamilisaiBJP pushing aside the True Heart BJP Workers

Dear Leaders, @DrTamilisaiBJP Must Be Removed from BJP to Save the BJP Party in TamilNadu

Ask @mahesh10816 the Rest"
0.00,"Modi is losing the war narrative that BJP-RSS is whipping He has already lost the plot by the way he is running a failed govenrment #CreditChorPracharak
https:tco7pawRGaHpY"
0.00,#WhenKulbhushanExposesIndia Indian Prime Minister Modi wanted to create war hysteria to take advantage https:tco2EogV2JKSx
0.00,MODI IS A PIECE OF SHIT #LetBetterSensePrevail
0.00,"The Chowkidar allowed weapons, narcotics &amp; fake currency from Pakistan for 5 years, under his watch https:tcobsh2Qi9xKD"
0.00,"Modi should be waiting to receive &amp; pay respect to the mortal remains of our brave hearts 
But
Here mortal remains of CRPF jawans are waiting for this fraud coward Modi to arrive and pay respect

There can not be more bigger disrespect than this

Shame on you Shameless Modi https:tcoa6iMaFyLqz"
1.00,"First time in history #Jammu gave you huge mandate You let it wither away in good faith??
National security compromised by @rammadhavbjp on AOA In good faith???
Jammu have still voted for @narendramodi 
That is what is called 'Good Faith'
@Prof_Hariom https:tcomU8rRgw8MZ"
0.00,"@msfromdelhi @HinduNatl @narendramodi @INCIndia @Manekagandhibjp Why has #India forgotten the words of the great man

#MahatmaGandhi 

The strength of a nation can be measured by how that nation treats its animalsâ€

Stop beating elephants with bullhooks!

Stop killing tigers!

Stop the draconian treatment of all animals!
@narendramodi"
1.00,MI winning IPL clearly shows Modi is supporting Ambani
0.00,"Bloody Terrorists once again threatened @BJP4India karykartas from Kashmir over their political affiliation

It itself means BJP is nightmare for these Terrorists If you want to eliminate Terrorism from Kashmir valley please vote for BJP and vote for @narendramodi as @PMOIndia https:tcoAGVY3QG0zA"
0.00,"Dangerous, manufactured audio clip used to claim Pulwama terror attack an inside job by BJP

https:tcoZp5ugG1qN6"
1.00,We r fully duped due to this under construction projectðŸ‘‡ https:tcoHWFQgYfYOX pls do help modi ji to get back our hard earned money pls do help to get our dream home we want justice lots of hope from u @narendramodi @PMOIndia @FightForRERAInd @AntheaBuyers #dreamzgkfraud https:tcoiSdH0f24YI
0.00,"CPI-M violence never ends A youth Congress worker, Krupesh, was murdered at Periya in Kasargode Whether the victim is of Cong BJP or any other party, it is always CPI-M goons on the other side https:tcoRvCdIShSGc"
0.00,"@narendramodi #Kashmir
#Pulwama

#Modi
#NarendraModi

Evil #Quran fucking fidayeens and Islamic jihadis

Running behind cricket playerspage 3 pigsHindi film pimpsdirty Hindi serial prostitutes with fake degrees fucked by 500 actorsdirectorsproducersfinanciers

https:tcooOrjZHifhx"
1.00, Iam challenging BJP + Jagan + TDP - you are trying your best to defeat me
0.00,"@_NAN_DINI Read full thread #Lutyens
By @_NAN_DINI 

 Extracts 
1âƒ£ Past 5 yrs hv bn difficult
2âƒ£ Another 5 will mean doom
3âƒ£ The assault will be dirty, vicious, desperate
4âƒ£ No doubt this is the end of an  era-even the blind can see it
5âƒ£ Chaiwala will b back!
      He did some good things https:tco84mEyKb5d2"
1.00,Ha ha they chose the right pic  har har modi https:tcoLWDgfNCh0U
0.00,"#ModiAtConclave19 
#modi can give interview

He has no answer on~
~growing unemployment
~increasing terrorist attack
~declining trade and commerce
~increasing casualties of security forces
~detoriating education system
#BiharRejectsModi 
@INCIndia @IYC @IndiaToday"
0.00,"RBI Warnings To Mr Modi
 
ðŸš«Black money not held in cash but in real-estate &amp; gold
ðŸš«DeMo would not have any impact on those assets
ðŸš«DeMo will have a negative impact on the economy

Yet, Modiji ignored all warnings &amp; went ahead to destroy millions of lives!

#ModiMadeDisaster https:tcouUVpvJq4ky"
